match,PSW,win0,confidence0,date,winner,,,pred correct?
41632,2.52,1,1.585153891,6/12/2016,Thiem D.,1.52,,
49090,1.59,0,1.585100974,5/1/2019,Fucsovics M.,-1,,
44765,2.52,1,1.584886168,8/8/2017,Carreno Busta P.,1.52,,
31240,1.65,0,1.584565396,6/17/2012,Muller G.,-1,,
49217,1.72,0,1.58444737,5/17/2019,Tsitsipas S.,-1,,
54840,2.34,1,1.584055486,2/15/2022,Verdasco F.,1.34,,
43774,2.09,1,1.583660591,4/25/2017,Zeballos H.,1.09,,
35989,1.72,0,1.583394659,4/26/2014,Rosol L.,-1,,
47888,1.53,0,1.583044507,10/16/2018,Paire B.,-1,,
51207,2.72,1,1.582853133,2/28/2020,Dimitrov G.,1.72,,
38685,1.49,0,1.582600497,5/5/2015,Mayer L.,-1,,
40402,1.55,0,1.582325745,1/19/2016,Hewitt L.,-1,,
38206,2.63,1,1.580851092,2/28/2015,Monaco J.,1.63,,
42032,2.3,1,1.580595049,7/21/2016,Basilashvili N.,1.3,,
30957,1.58,0,1.579826214,5/14/2012,Isner J.,-1,,
47438,1.78,0,1.578632234,8/14/2018,Goffin D.,-1,,
35847,2.6,1,1.578365083,4/10/2014,Garcia-Lopez G.,1.6,,
39645,1.61,0,1.5771931,8/25/2015,Coric B.,-1,,
43535,1.73,0,1.576798731,3/16/2017,Carreno Busta P.,-1,,
52327,1.58,0,1.576416556,3/2/2021,Cerundolo F.,-1,,
50543,1.61,0,1.576014273,10/19/2019,Mannarino A.,-1,,
57032,1.69,0,1.575280096,1/2/2023,Draper J.,-1,-100,
51914,1.59,0,1.574654568,11/12/2020,Mannarino A.,-1,,
47890,2.47,1,1.57442747,10/16/2018,Seppi A.,1.47,,
32550,2.36,1,1.574416938,1/5/2013,Bautista R.,1.36,,
57397,2.46,1,1.572702716,2/16/2023,Mannarino A.,1.46,146,
48668,1.54,0,1.572261096,3/1/2019,Ruud C.,-1,,
51922,1.74,0,1.572028855,11/16/2020,Medvedev D.,-1,,
43207,2.52,1,1.571795855,2/14/2017,Coric B.,1.52,,
44928,1.52,0,1.571518943,8/28/2017,Norrie C.,-1,,
31899,1.75,0,1.571369653,8/29/2012,Johnson S.,-1,,
34788,2.44,1,1.570639731,10/8/2013,Seppi A.,1.44,,
43568,1.51,0,1.570235511,3/23/2017,Coric B.,-1,,
