match,PSW,win0,confidence0,date,winner,,,correct prediction?,roi,net,,,,,,,,,,,,,,,,,,,,,,,,,
39950,2.97,1,2.547475414,10/8/2015,Fognini F.,1.97,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55895,4,1,2.546496987,6/27/2022,Lajovic D.,3,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47087,1.27,0,2.546382957,7/7/2018,Djokovic N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42944,3.75,1,2.545882165,1/9/2017,Barton M.,2.75,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37623,3.27,1,2.545085592,1/6/2015,Struff J.L.,2.27,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53817,3.38,1,2.54248075,8/19/2021,Paire B.,2.38,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44715,5.51,1,2.542202185,8/3/2017,Sandgren T.,4.51,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54158,1.21,0,2.536834745,10/10/2021,Zverev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43915,3.92,1,2.533791404,5/9/2017,Herbert P.H.,2.92,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34935,3.61,1,2.528975827,10/23/2013,Llodra M.,2.61,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52894,3.96,1,2.526663208,5/6/2021,Bublik A.,2.96,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57575,1.37,0,2.525129348,3/2/2023,Paul T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51967,3.97,1,2.523743013,1/9/2021,Mager G.,2.97,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43783,2.73,1,2.514276127,4/26/2017,Karlovic I.,1.73,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38895,3.37,1,2.510938491,5/27/2015,Gabashvili T.,2.37,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34754,1.48,0,2.508948978,9/27/2013,Benneteau J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37297,1.42,0,2.506054588,9/30/2014,Berdych T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49928,3.07,1,2.500889206,8/1/2019,Nishioka Y.,2.07,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47986,1.31,0,2.499198094,10/24/2018,Bautista Agut R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30728,3.36,1,2.495618134,4/19/2012,Haase R.,2.36,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56517,1.24,0,2.490665099,9/1/2022,Evans D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35239,1.45,0,2.486547859,1/16/2014,Paire B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30734,3.28,1,2.485127556,4/20/2012,Berdych T.,2.28,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40754,4.36,1,2.482957345,2/22/2016,Jaziri M.,3.36,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45065,4.37,1,2.482490903,9/21/2017,Berankis R.,3.37,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38214,1.27,0,2.482452374,3/12/2015,Harrison R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35052,3.27,1,2.481669582,12/31/2013,Brown D.,2.27,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54482,1.3,0,2.475842563,1/12/2022,Evans D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56034,1.32,0,2.474472943,7/12/2022,Cerundolo F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51926,1.36,0,2.471216288,11/18/2020,Zverev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30144,1.23,0,2.470932956,2/2/2012,Youzhny M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34383,1.26,0,2.465636919,8/6/2013,Raonic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30609,3.61,1,2.462910072,3/26/2012,Mayer F.,2.61,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42688,3.64,1,2.459500843,10/20/2016,Struff J.L.,2.64,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30612,3.45,1,2.457977212,3/27/2012,Monaco J.,2.45,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54569,3.64,1,2.456800917,1/18/2022,Paire B.,2.64,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34558,2.66,1,2.456147902,8/27/2013,Andujar P.,1.66,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57574,3.52,1,2.453638363,3/2/2023,Daniel T.,2.52,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34624,1.28,0,2.450174352,8/31/2013,Robredo T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42677,3.5,1,2.44753474,10/19/2016,Dzumhur D.,2.5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53207,1.37,0,2.444994347,6/10/2021,Cilic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44742,1.33,0,2.442571723,8/5/2017,Zverev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
