match,PSW,win0,confidence0,date,winner,,correct?,,
26399,1.71,0,1.738697734,8/4/2018,Kuznetsova S.,,,,
13821,1.57,0,1.737894329,7/12/2013,Scheepers C.,,,,
34312,1.47,0,1.737882632,6/11/2022,Riske A.,,,,
27866,1.61,0,1.73727437,4/3/2019,Buzarnescu M.,,,,
35531,2.17,1,1.736272439,1/5/2023,Masarova R.,,,,
13093,2.34,1,1.735668388,4/11/2013,Cadantu A.,,,,
25528,2.78,1,1.735368382,4/25/2018,Tomljanovic A.,,,,
17395,2.6,1,1.734221375,1/24/2015,Brengle M.,,,,
23621,1.51,0,1.732992955,6/29/2017,Wozniacki C.,,,,
16055,2.8,1,1.732667243,6/21/2014,Keys M.,,,,
28870,2.59,1,1.731806919,8/2/2019,Kalinskaya A.,,,,
12711,1.65,0,1.731784479,2/26/2013,Pliskova Ka.,,,,
25561,1.68,0,1.730628121,4/30/2018,Errani S.,,,,
18009,1.58,0,1.730009706,4/24/2015,Kerber A.,,,,
11124,2.27,1,1.729445475,6/13/2012,Craybas J.,,,,
26500,2.46,1,1.729124861,8/16/2018,Keys M.,,,,
28011,1.6,0,1.727243742,4/25/2019,Osaka N.,,,,
22512,1.5,0,1.726088969,2/3/2017,Cibulkova D.,,,,
26223,1.68,0,1.725799093,7/12/2018,Kerber A.,,,,
29673,2.4,1,1.725786817,1/7/2020,Samsonova L.,,,,
25273,1.69,0,1.725556923,3/21/2018,Sabalenka A.,,,,
17023,1.63,0,1.725095349,10/9/2014,Friedsam A.L.,,,,
23104,2.86,1,1.72426248,5/2/2017,Shvedova Y.,,,,
25102,1.58,0,1.724207344,2/21/2018,Muguruza G.,,,,
20651,2.54,1,1.724160445,5/1/2016,Lisicki S.,,,,
19386,1.65,0,1.722553119,9/29/2015,Beck A.,,,,
28158,1.72,0,1.722447529,5/13/2019,Tomljanovic A.,,,,
22249,1.46,0,1.720439048,1/4/2017,Cibulkova D.,,,,
28267,1.63,0,1.719508184,5/24/2019,Putintseva Y.,,,,
11517,2.33,1,1.718937151,7/29/2012,Chang K.C.,,,,
25745,1.52,0,1.718416045,5/20/2018,Buzarnescu M.,,,,
14650,2.26,1,1.718125199,10/29/2013,Cornet A.,,,,
25479,1.74,0,1.717781412,4/13/2018,Korpatsch T.,,,,
10768,2.52,1,1.717624839,5/2/2012,Vesnina E.,,,,
31094,1.76,0,1.717591231,3/1/2021,Rus A.,,,,
19747,1.61,0,1.717582317,1/8/2016,Goerges J.,,,,
23051,2.8,1,1.716878664,4/26/2017,Vesnina E.,,,,
21001,2.22,1,1.716477058,6/13/2016,Hantuchova D.,,,,
16665,1.62,0,1.71627057,9/8/2014,Radwanska U.,,,,
