match,PSW,win0,confidence0,date,winner,,,correct pred?
27182,1.7,0,1.463814336,1/1/2019,Zvonareva V.,-1,-100,
26853,1.89,0,1.463269681,9/24/2018,Hibino N.,-1,-100,
26011,2.3,1,1.463164164,6/19/2018,Tsurenko L.,1.3,130,
35886,1.65,0,1.462772796,2/17/2023,Pegula J.,-1,-100,
31256,1.71,0,1.46261478,3/17/2021,Zvonareva V.,-1,-100,
33538,1.57,0,1.462043419,2/24/2022,Bouzkova M.,-1,-100,
33963,1.65,0,1.461238102,4/28/2022,Zidansek T.,-1,-100,
24070,1.68,0,1.461205413,8/24/2017,Mertens E.,-1,-100,
25222,2.27,1,1.461187453,3/10/2018,Sasnovich A.,1.27,127,
28318,1.55,0,1.460397584,5/28/2019,Siniakova K.,-1,-100,
33481,2.06,1,1.458990735,2/21/2022,Bronzetti L.,1.06,106,
27115,1.7,0,1.457074048,10/18/2018,Bencic B.,-1,-100,
33761,2.35,1,1.456296055,3/25/2022,Brengle M.,1.35,135,
35386,1.65,0,1.455853595,10/11/2022,Golubic V.,-1,-100,
22287,1.71,0,1.455851957,1/9/2017,Mchale C.,-1,-100,
26977,1.67,0,1.455410175,10/8/2018,Yastremska D.,-1,-100,
22689,1.91,0,1.453476442,3/4/2017,Tsurenko L.,-1,-100,
26867,1.57,0,1.45277446,9/25/2018,Rodina E.,-1,-100,
27320,1.63,0,1.451750815,1/14/2019,Haddad Maia B.,-1,-100,
27040,1.69,0,1.451480405,10/11/2018,Petkovic A.,-1,-100,
23491,2.28,1,1.450732643,6/14/2017,Witthoeft C.,1.28,128,
31929,2.07,1,1.450082103,6/10/2021,Mladenovic K.,1.07,107,
35662,1.75,0,1.449069014,1/17/2023,Giorgi C.,-1,-100,
36026,2.09,1,1.448761823,3/3/2023,Volynets K.,1.09,109,
29046,1.51,0,1.448397382,8/26/2019,Peterson R.,-1,-100,
25673,1.76,0,1.448283617,5/9/2018,Garcia C.,-1,-100,
25111,2.53,1,1.44813725,2/21/2018,Vesnina E.,1.53,153,
34328,1.55,0,1.448055032,6/13/2022,Andreescu B.,-1,-100,
34053,1.68,0,1.448001905,5/12/2022,Sakkari M.,-1,-100,
32232,1.69,0,1.447184188,7/13/2021,Blinkova A.,-1,-100,
