match,PSW,win0,confidence0,date,winner,,,,
35172,2.12,1,1.691377555,9/15/2022,Podoroska N.,1.12,56,,
23066,2.76,1,1.689582826,4/27/2017,Siegemund L.,1.76,88,,
26231,2.25,1,1.689517669,7/16/2018,Zidansek T.,1.25,62.5,,
32501,2.56,1,1.689398092,8/20/2021,Badosa P.,1.56,78,,
31894,1.57,0,1.688727481,6/7/2021,Dart H.,-1,-50,,
28979,1.63,0,1.688687415,8/15/2019,Stephens S.,-1,-50,,
26049,1.55,0,1.688652778,6/23/2018,Sevastova A.,-1,-50,,
29896,1.76,0,1.688370696,1/28/2020,Barty A.,-1,-50,,
25552,1.55,0,1.688094915,4/27/2018,Sakkari M.,-1,-50,,
25235,1.71,0,1.687453367,3/12/2018,Collins D.,-1,-50,,
24581,2.83,1,1.68643358,10/13/2017,Buzarnescu M.,1.83,91.5,,
34004,2.7,1,1.686149796,5/4/2022,Jabeur O.,1.7,85,,
24042,1.61,0,1.685973164,8/18/2017,Stephens S.,-1,-50,,
23197,2.44,1,1.685810563,5/9/2017,Doi M.,1.44,72,,
30913,1.68,0,1.685770894,2/9/2021,Van Uytvanck A.,-1,-50,,
23279,1.68,0,1.68512104,5/21/2017,Flipkens K.,-1,-50,,
32076,2.22,1,1.684640478,6/28/2021,Osorio M.,1.22,61,,
34624,2.35,1,1.684394581,7/14/2022,Krunic A.,1.35,67.5,,
34788,1.6,0,1.684208075,8/2/2022,Keys M.,-1,-50,,
24103,2.52,1,1.682736593,8/28/2017,Duan Y.Y.,1.52,76,,
34580,1.4,0,1.682606735,7/6/2022,Halep S.,-1,-50,,
26678,2.22,1,1.682058198,9/10/2018,Zheng S.,1.22,61,,
30228,1.4,0,1.681894697,8/16/2020,Halep S.,-1,-50,,
25084,2.36,1,1.681357434,2/20/2018,Errani S.,1.36,68,,
29547,2.09,1,1.681132274,10/15/2019,Gracheva V.,1.09,54.5,,
27420,1.59,0,1.680927957,1/21/2019,Osaka N.,-1,-50,,
23202,1.49,0,1.679110029,5/10/2017,Cirstea S.,-1,-50,,
34811,2.99,1,1.678721292,8/5/2022,Kudermetova V.,1.99,99.5,,
26215,2.7,1,1.67841914,7/9/2018,Bertens K.,1.7,85,,
25237,1.59,0,1.677482016,3/12/2018,Garcia C.,-1,-50,,
30283,1.72,0,1.67630903,8/28/2020,Osaka N.,-1,-50,,
23018,2.24,1,1.674377522,4/13/2017,Vondrousova M.,1.24,62,,
29907,2.21,1,1.673991187,2/10/2020,You X.,1.21,60.5,,
30362,1.46,0,1.672318635,9/3/2020,Sakkari M.,-1,-50,,
23409,3.44,1,1.671059302,5/31/2017,Mattek-Sands B.,2.44,122,,
29612,2.4,1,1.67089674,10/28/2019,Halep S.,1.4,70,,
26387,1.79,0,1.670783949,8/2/2018,Buzarnescu M.,-1,-50,,
27671,2.3,1,1.670200239,3/8/2019,Mchale C.,1.3,65,,
26877,1.57,0,1.669883484,9/25/2018,Rodina E.,-1,-50,,
32488,2.16,1,1.669718081,8/19/2021,Krejcikova B.,1.16,58,,
34611,2.31,1,1.669307987,7/12/2022,Krunic A.,1.31,65.5,,
24731,2.47,1,1.666426774,1/2/2018,Hercog P.,1.47,73.5,,
23126,1.53,0,1.665223138,5/3/2017,Barthel M.,-1,-50,,
32675,1.73,0,1.665002448,9/4/2021,Bencic B.,-1,-50,,
26674,1.68,0,1.664877236,9/10/2018,Parmentier P.,-1,-50,,
25210,1.66,0,1.664100661,3/10/2018,Gavrilova D.,-1,-50,,
29508,1.69,0,1.663921627,10/9/2019,Jabeur O.,-1,-50,,
23455,1.6,0,1.663772616,6/7/2017,Pliskova Ka.,-1,-50,,
30225,2.22,1,1.663168858,8/15/2020,Teichmann J.,1.22,61,,
26748,2.16,1,1.662897255,9/17/2018,Ferro F.,1.16,58,,
32961,1.44,0,1.662867722,10/16/2021,Azarenka V.,-1,-50,,
35007,1.64,0,1.662142427,8/29/2022,Tomljanovic A.,-1,-50,,
28157,1.51,0,1.661523528,5/13/2019,Keys M.,-1,-50,,
28360,2.09,1,1.661428783,5/30/2019,Bolsova A.,1.09,54.5,,
36003,1.77,0,1.661058861,3/1/2023,Zhu L.,-1,-50,,
28789,2.04,1,1.660513781,7/23/2019,Paquet C.,1.04,52,,
26502,2.05,1,1.660383904,8/16/2018,Anisimova A.,1.05,52.5,,
29008,2.27,1,1.659626875,8/19/2019,Ahn K.,1.27,63.5,,
25565,2.24,1,1.658924896,4/30/2018,Korpatsch T.,1.24,62,,
24279,1.51,0,1.658613675,9/18/2017,Barthel M.,-1,-50,,
29282,2.03,1,1.657983144,9/17/2019,Hon P.,1.03,51.5,,
26289,1.4,0,1.657862449,7/23/2018,Liang E.S.,-1,-50,,
29619,1.69,0,1.656806486,11/1/2019,Svitolina E.,-1,-50,,
22834,2.73,1,1.65673906,3/24/2017,Stosur S.,1.73,86.5,,
24813,2.42,1,1.656367198,1/9/2018,Radwanska A.,1.42,71,,
31947,1.56,0,1.656256858,6/14/2021,Garcia C.,-1,-50,,
29332,1.78,0,1.656046391,9/22/2019,Yastremska D.,-1,-50,,
35273,1.81,0,1.655823122,9/27/2022,Paoletti M.,-1,-50,,
23806,1.38,0,1.654942092,7/21/2017,Bertens K.,-1,-50,,
29137,2.75,1,1.654931381,9/1/2019,Konta J.,1.75,87.5,,
27421,1.74,0,1.654843866,1/21/2019,Pliskova Ka.,-1,-50,,
26880,2.12,1,1.654598902,9/25/2018,Pavlyuchenkova A.,1.12,56,,
28641,1.74,0,1.654220328,7/3/2019,Zhang S.,-1,-50,,
25836,2.11,1,1.654101715,5/28/2018,Dolehide C.,1.11,55.5,,
24284,1.63,0,1.652444921,9/18/2017,Wickmayer Y.,-1,-50,,
29601,1.53,0,1.651750863,10/24/2019,Muchova K.,-1,-50,,
35481,2.16,1,1.651170852,11/1/2022,Sabalenka A.,1.16,58,,
24232,1.49,0,1.651072453,9/13/2017,Mchale C.,-1,-50,,
23572,1.54,0,1.649055892,6/23/2017,Garcia C.,-1,-50,,
26687,2.09,1,1.648392934,9/11/2018,Garcia Perez G.,1.09,54.5,,
29771,1.47,0,1.647209791,1/17/2020,Barty A.,-1,-50,,
26465,1.44,0,1.646261376,8/13/2018,Azarenka V.,-1,-50,,
34533,1.69,0,1.645912911,6/29/2022,Pegula J.,-1,-50,,
24830,1.49,0,1.645544861,1/12/2018,Kerber A.,-1,-50,,
27855,1.93,0,1.645104896,4/2/2019,Davis L.,-1,-50,,
23914,1.59,0,1.64498887,8/3/2017,Niculescu M.,-1,-50,,
27611,1.72,0,1.642760847,2/27/2019,Zheng S.,-1,-50,,
26986,2.5,1,1.640079282,10/9/2018,Teichmann J.,1.5,75,,
34400,1.48,0,1.64006494,6/20/2022,Muguruza G.,-1,-50,,
30159,1.78,0,1.63989163,8/6/2020,Giorgi C.,-1,-50,,
34819,2.06,1,1.639314026,8/6/2022,Samsonova L.,1.06,53,,
23145,2.75,1,1.638071436,5/5/2017,Pliskova Kr.,1.75,87.5,,
24955,1.57,0,1.637072635,1/22/2018,Halep S.,-1,-50,,
25672,1.56,0,1.634362292,5/9/2018,Suarez Navarro C.,-1,-50,,
29588,2.76,1,1.634313691,10/19/2019,Pavlyuchenkova A.,1.76,88,,
28585,2.84,1,1.634124665,7/1/2019,Putintseva Y.,1.84,92,,
22313,1.59,0,1.632794838,1/10/2017,Strycova B.,-1,-50,,
25777,1.58,0,1.631954176,5/23/2018,Pavlyuchenkova A.,-1,-50,,
29321,1.6,0,1.631330013,9/21/2019,Osaka N.,-1,-50,,
31457,1.74,0,1.631110867,4/9/2021,Tomova V.,-1,-50,,
31835,2.27,1,1.630786202,6/2/2021,Keys M.,1.27,63.5,,
27936,1.7,0,1.629711541,4/10/2019,Hercog P.,-1,-50,,
29616,2.36,1,1.629592738,10/30/2019,Pliskova Ka.,1.36,68,,
31930,2.27,1,1.628469991,6/10/2021,Krejcikova B.,1.27,63.5,,
35427,2.03,1,1.628213417,10/17/2022,Kostyuk M.,1.03,51.5,,
34623,2.39,1,1.628068123,7/13/2022,Pera B.,1.39,69.5,,
34003,2.07,1,1.62697561,5/3/2022,Pegula J.,1.07,53.5,,
26515,2.42,1,1.626841184,8/18/2018,Bertens K.,1.42,71,,
23328,1.52,0,1.626737504,5/26/2017,Stosur S.,-1,-50,,
24694,1.74,0,1.625443963,12/31/2017,Konjuh A.,-1,-50,,
34124,1.66,0,1.623091167,5/20/2022,Liu C.,-1,-50,,
24681,2.42,1,1.622588569,11/4/2017,Vandeweghe C.,1.42,71,,
22550,2.32,1,1.621514685,2/19/2017,Barthel M.,1.32,66,,
