match,correct_prediction,confidence,PSW,date,winner
48887,0,0.7504411,1.01,2025-01-14,Medvedev D.
48646,1,0.7502403,1.24,2024-10-31,Dimitrov G.
49235,0,0.7500416,1.77,2025-02-26,Comesana F.
47436,1,0.75004107,1.26,2024-06-11,Korda S.
48148,1,0.7500247,1.02,2024-08-27,Sinner J.
49168,1,0.7499416,1.37,2025-02-19,Lehecka J.
49024,1,0.74968153,1.78,2025-02-06,Tsitsipas S.
48516,1,0.7495753,2.08,2024-10-18,Diallo G.
47260,1,0.7495725,1.5,2024-05-21,Darderi L.
49144,1,0.7487781,,2025-02-18,Baez S.
48740,1,0.74875706,2.43,2024-12-31,Muller A.
49144,1,0.7485928,,2025-02-18,Baez S.
48926,1,0.7484964,2.08,2025-01-16,Musetti L.
48555,0,0.74794763,2.0,2024-10-22,Giron M.
48390,1,0.7474346,1.55,2024-10-03,Kecmanovic M.
49102,1,0.7470658,1.35,2025-02-13,Musetti L.
47732,1,0.74704576,1.59,2024-07-15,Norrie C.
49216,1,0.7470391,1.22,2025-02-25,Ruud C.
49076,1,0.74703246,1.44,2025-02-11,Navone M.
49192,1,0.7469951,2.15,2025-02-22,Rublev A.
49228,1,0.7465092,1.26,2025-02-26,Vukic A.
48702,1,0.7463915,2.0,2024-11-08,Bonzi B.
47323,0,0.74636036,1.67,2024-05-27,Lajovic D.
47918,1,0.74563146,1.76,2024-07-29,Ruusuvuori E.
47642,1,0.7455232,1.03,2024-07-02,Djokovic N.
48164,1,0.74540114,1.98,2024-08-27,Diallo G.
47801,0,0.7451533,1.51,2024-07-18,Borges N.
48580,1,0.74501437,2.47,2024-10-24,Machac T.
47359,0,0.7448535,1.22,2024-05-28,Etcheverry T.
47242,1,0.7446526,1.35,2024-05-19,Zverev A.
48806,1,0.74441534,2.25,2025-01-07,Hijikata R.
48430,1,0.74422485,2.24,2024-10-08,Goffin D.
