match,correct_prediction,confidence,PSW,date,winner
47675,1,0.7531741,2.8,2024-07-04,Halys Q.
47853,1,0.75290966,2.23,2024-07-23,Gaston H.
48423,1,0.752492,2.18,2024-10-07,Griekspoor T.
48433,1,0.7523063,2.24,2024-10-08,Goffin D.
48381,1,0.7520826,1.23,2024-10-03,Shevchenko A.
46909,1,0.7520109,1.58,2024-04-08,Tabilo A.
48625,1,0.7519597,2.17,2024-10-29,Michelsen A.
47775,1,0.75171614,1.61,2024-07-17,Michelsen A.
47051,1,0.7516017,1.68,2024-04-21,Fucsovics M.
47547,1,0.7506938,2.16,2024-06-24,Shevchenko A.
48543,1,0.7505881,1.42,2024-10-21,Berrettini M.
47802,0,0.75018555,1.48,2024-07-18,Auger-Aliassime F.
47617,1,0.75012976,1.24,2024-07-01,Thompson J.
47861,1,0.7500602,2.73,2024-07-23,Mayot H.
48479,1,0.7500565,1.68,2024-10-15,Rinderknech A.
48649,1,0.749997,1.33,2024-11-01,Humbert U.
48663,1,0.7499524,1.76,2024-11-04,Gasquet R.
48701,1,0.74995023,1.57,2024-11-07,Michelsen A.
47469,1,0.749759,2.32,2024-06-14,Korda S.
46855,1,0.7495421,2.2,2024-04-03,Choinski J.
47523,1,0.74944264,2.05,2024-06-20,Musetti L.
48523,1,0.74927104,1.24,2024-10-18,Dimitrov G.
46925,1,0.7492652,1.51,2024-04-10,De Minaur A.
47825,1,0.7489466,1.11,2024-07-20,Zverev A.
47588,0,0.74893224,1.23,2024-06-28,Fritz T.
47631,1,0.7479359,1.08,2024-07-02,Norrie C.
48077,1,0.7477731,1.24,2024-08-19,Shang J.
46755,1,0.7476201,1.42,2024-03-23,Zverev A.
47063,1,0.7475059,2.04,2024-04-24,Shevchenko A.
47901,1,0.74704427,1.52,2024-07-26,Musetti L.
48148,0,0.7469707,1.26,2024-08-27,De Minaur A.
48732,0,0.7465976,2.47,2024-12-30,Thompson J.
47227,1,0.7465445,1.69,2024-05-13,Paul T.
47397,1,0.7464399,1.11,2024-05-31,Alcaraz C.
47115,1,0.7463377,3.08,2024-04-27,Bublik A.
48217,1,0.7460164,1.05,2024-08-30,Fritz T.
47930,0,0.745904,1.76,2024-07-30,Kokkinakis T.
46953,1,0.74581456,1.65,2024-04-15,Rinderknech A.
47247,1,0.7456007,2.33,2024-05-20,Shevchenko A.
48575,1,0.7451563,1.67,2024-10-24,Musetti L.
47901,1,0.7450706,1.52,2024-07-26,Musetti L.
47939,1,0.74485874,1.57,2024-07-31,Kovacevic A.
48519,1,0.74460566,1.31,2024-10-18,Paul T.
48611,1,0.74428093,1.6,2024-10-28,Humbert U.
46997,1,0.74400765,1.25,2024-04-17,Draper J.
46866,0,0.74400765,2.58,2024-04-04,Borges N.
46856,0,0.7439727,2.28,2024-04-03,Giron M.
