match,PSW,win0,confidence0,date,winner,,,,,,,,,
51805,2.55,1,1.54069057,10/28/2020,Anderson K.,,,,,,,,,
52010,2.23,1,1.540583548,2/1/2021,O Connell C.,,,,,,,,,
50028,1.63,0,1.540120184,8/12/2019,Pouille L.,,,,,,,,,
44232,2.7,1,1.539454052,6/16/2017,Pouille L.,,,,,,,,,
34717,1.53,0,1.538872047,9/23/2013,Haase R.,,,,,,,,,
32520,1.52,0,1.538351941,1/2/2013,Baghdatis M.,,,,,,,,,
33888,2.19,1,1.538048174,6/17/2013,Verdasco F.,,,,,,,,,
49321,2.76,1,1.537365806,5/28/2019,Thompson J.,,,,,,,,,
42069,2.27,1,1.537363178,7/23/2016,Karlovic I.,,,,,,,,,
52908,1.68,0,1.537315254,5/9/2021,Zverev A.,,,,,,,,,
35249,1.69,0,1.537197777,1/16/2014,Klizan M.,,,,,,,,,
52618,2.8,1,1.53681705,4/5/2021,Kwon S.W.,,,,,,,,,
51946,1.52,0,1.536718605,1/8/2021,Fratangelo B.,,,,,,,,,
45358,2.37,1,1.536026144,10/24/2017,Mayer L.,,,,,,,,,
53612,1.63,0,1.535520159,7/23/2021,Djere L.,,,,,,,,,
32831,1.48,0,1.535399664,2/12/2013,Hewitt L.,,,,,,,,,
57476,2.29,1,1.534455415,2/22/2023,Bonzi B.,,,,,,,,,
33344,2.6,1,1.534052177,4/16/2013,Montanes A.,,,,,,,,,
53285,2.45,1,1.532998689,6/20/2021,Mannarino A.,,,,,,,,,
54038,2.6,1,1.53295737,9/23/2021,Giron M.,,,,,,,,,
51268,1.62,0,1.532449754,8/26/2020,Raonic M.,,,,,,,,,
52585,1.66,0,1.532139693,3/28/2021,Sinner J.,,,,,,,,,
43183,2.75,1,1.531652617,2/11/2017,Estrella Burgos V.,,,,,,,,,
42132,2.32,1,1.531631614,7/30/2016,Nishikori K.,,,,,,,,,
35371,1.63,0,1.530921793,2/10/2014,Granollers M.,,,,,,,,,
47105,2.05,0,1.528423179,7/14/2018,Djokovic N.,,,,,,,,,
38707,1.95,0,1.528095935,5/7/2015,Dimitrov G.,,,,,,,,,
40481,1.55,0,1.527960008,1/25/2016,Ferrer D.,,,,,,,,,
56513,2.66,1,1.527868886,8/31/2022,Moutet C.,,,,,,,,,
