match,PSW,win0,confidence0,date,winner,,,
54858,1.62,0,1.585882347,2/16/2022,Khachanov K.,-1,-100,
56174,2.56,1,1.58548681,7/28/2022,Bagnis F.,1.56,156,
55040,2.43,1,1.585413672,3/13/2022,Bublik A.,1.43,143,
47353,2.58,1,1.584908323,8/3/2018,Istomin D.,1.58,158,
53484,1.51,0,1.581022649,7/13/2021,Lajovic D.,-1,-100,
54879,1.58,0,1.580737644,2/18/2022,Bautista Agut R.,-1,-100,
52977,2.44,1,1.580542954,5/18/2021,Lopez F.,1.44,144,
32513,1.52,0,1.579367268,1/2/2013,Baghdatis M.,-1,-100,
38240,1.53,0,1.579181658,3/14/2015,Mannarino A.,-1,-100,
51103,2.11,1,1.578902595,2/20/2020,Humbert U.,1.11,111,
43116,1.67,0,1.578807049,2/6/2017,Chardy J.,-1,-100,
37272,2.42,1,1.578314332,9/26/2014,Giraldo S.,1.42,142,
42705,1.71,0,1.578168037,10/21/2016,Kohlschreiber P.,-1,-100,
38677,1.56,0,1.577511248,5/5/2015,Kohlschreiber P.,-1,-100,
52899,2.36,1,1.577454113,5/6/2021,Garin C.,1.36,136,
49454,1.5,0,1.576760832,6/16/2019,Berrettini M.,-1,-100,
38702,1.95,0,1.575802739,5/7/2015,Dimitrov G.,-1,-100,
54338,1.67,0,1.575683615,11/2/2021,Paul T.,-1,-100,
32063,1.61,0,1.575304965,9/26/2012,Nieminen J.,-1,-100,
51811,2.55,1,1.575212801,10/28/2020,Anderson K.,1.55,155,
43700,2.6,1,1.574994463,4/17/2017,Almagro N.,1.6,160,
42659,2.67,1,1.57412441,10/18/2016,Kovalik J.,1.67,167,
38218,1.54,0,1.572575876,3/12/2015,Monaco J.,-1,-100,
39287,1.57,0,1.572035974,7/21/2015,Coric B.,-1,-100,
40519,1.57,0,1.571836842,2/2/2016,Gulbis E.,-1,-100,
38350,1.63,0,1.571531405,3/28/2015,Dolgopolov O.,-1,-100,
36090,1.63,0,1.571449949,5/8/2014,Gulbis E.,-1,-100,
47428,1.66,0,1.568899247,8/13/2018,Klahn B.,-1,-100,
42003,2.08,1,1.567217236,7/19/2016,Nishioka Y.,1.08,108,
55752,1.61,0,1.567098076,6/9/2022,Ivashka I.,-1,-100,
55802,1.66,0,1.566896976,6/15/2022,Kyrgios N.,-1,-100,
49218,1.72,0,1.566427679,5/17/2019,Tsitsipas S.,-1,-100,
33324,1.62,0,1.566242832,4/14/2013,Dolgopolov O.,-1,-100,
35845,2.6,1,1.566177028,4/10/2014,Garcia-Lopez G.,1.6,160,
49975,1.38,0,1.565966495,8/5/2019,Raonic M.,-1,-100,
42268,1.78,0,1.56506901,8/23/2016,Millman J.,-1,-100,
42128,1.43,0,1.564704928,7/29/2016,Wawrinka S.,-1,-100,
31669,1.56,0,1.56454191,7/28/2012,Querrey S.,-1,-100,
42382,1.47,0,1.564286993,9/2/2016,Tsonga J.W.,-1,-100,
37090,2.37,1,1.563838464,8/25/2014,Kyrgios N.,1.37,137,
56265,1.66,0,1.563791094,8/5/2022,Tiafoe F.,-1,-100,
34260,2.33,1,1.563629751,7/24/2013,Ebden M.,1.33,133,
42315,1.54,0,1.561873402,8/29/2016,Seppi A.,-1,-100,
31089,1.51,0,1.559848163,5/29/2012,Schwank E.,-1,-100,
44332,1.54,0,1.559531915,6/28/2017,Fabbiano T.,-1,-100,
47247,2.44,1,1.557964536,7/26/2018,Norrie C.,1.44,144,
40634,2.74,1,1.557960747,2/12/2016,Kohlschreiber P.,1.74,174,
31490,1.51,0,1.557336159,7/11/2012,Van Der Merwe I.,-1,-100,
51491,2.51,1,1.556938644,9/22/2020,Bublik A.,1.51,151,
38311,1.52,0,1.556599354,3/25/2015,Haase R.,-1,-100,
49214,2.43,1,1.555701746,5/16/2019,Del Potro J.M.,1.43,143,
33100,2.53,1,1.555164094,3/8/2013,Ramos A.,1.53,153,
35414,1.77,0,1.555153682,2/13/2014,Chardy J.,-1,-100,
38715,2.42,1,1.55496979,5/9/2015,Murray A.,1.42,142,
52404,1.56,0,1.554916978,3/10/2021,Rune H.,-1,-100,
52703,2.44,1,1.554914351,4/14/2021,Pouille L.,1.44,144,
48708,2.7,1,1.554832645,3/8/2019,Marterer M.,1.7,170,
47515,1.5,0,1.554127887,8/23/2018,Carreno Busta P.,-1,-100,
34787,2.44,1,1.552198552,10/8/2013,Seppi A.,1.44,144,
47317,1.79,0,1.551609969,8/1/2018,Giron M.,-1,-100,
29904,2.62,1,1.550609579,1/6/2012,Tsonga J.W.,1.62,162,
38362,1.61,0,1.550216184,3/28/2015,Mannarino A.,-1,-100,
42711,2.3,1,1.549616462,10/21/2016,Schwartzman D.,1.3,130,
30717,2.44,1,1.549416593,4/18/2012,Benneteau J.,1.44,144,
51302,1.6,0,1.549382289,9/1/2020,Goffin D.,-1,-100,
33601,2.31,1,1.54934807,5/16/2013,Granollers M.,1.31,131,
37487,1.68,0,1.549086092,10/21/2014,Verdasco F.,-1,-100,
42402,1.73,0,1.548935826,9/4/2016,Tsonga J.W.,-1,-100,
40333,2.06,1,1.548424203,1/12/2016,Rosol L.,1.06,106,
35630,2.42,1,1.548297963,3/6/2014,Stepanek R.,1.42,142,
42430,1.56,0,1.548147937,9/21/2016,Sousa J.,-1,-100,
47188,1.69,0,1.547392545,7/23/2018,Auger-Aliassime F.,-1,-100,
46012,2.24,1,1.545863113,2/27/2018,Harrison R.,1.24,124,
52878,1.64,0,1.545759174,5/4/2021,Davidovich Fokina A.,-1,-100,
51912,1.59,0,1.544959708,11/12/2020,Mannarino A.,-1,-100,
38023,1.63,0,1.543498009,2/14/2015,Cuevas P.,-1,-100,
44058,2.71,1,1.543012761,5/26/2017,Berdych T.,1.71,171,
38577,1.78,0,1.542814838,4/25/2015,Vesely J.,-1,-100,
37437,1.61,0,1.542785968,10/15/2014,Sock J.,-1,-100,
39216,2.15,1,1.542397964,7/3/2015,Gasquet R.,1.15,115,
42418,2.27,1,1.542390914,9/19/2016,Berankis R.,1.27,127,
52842,1.63,0,1.542367059,4/30/2021,Ramos-Vinolas A.,-1,-100,
46313,1.58,0,1.542327207,4/15/2018,Khachanov K.,-1,-100,
56135,2.46,1,1.542291931,7/25/2022,Zeppieri G.,1.46,146,
51188,1.63,0,1.541429524,2/26/2020,Evans D.,-1,-100,
31609,2.65,1,1.54104289,7/21/2012,Haas T.,1.65,165,
38595,1.9,0,1.540981977,4/28/2015,Lajovic D.,-1,-100,
53801,1.7,0,1.540725699,8/18/2021,Ruud C.,-1,-100,
42972,1.65,0,1.540558676,1/12/2017,Muller G.,-1,-100,
42040,1.86,0,1.540336506,7/21/2016,Lajovic D.,-1,-100,
54553,1.58,0,1.540221649,1/18/2022,Baez S.,-1,-100,
55035,2.54,1,1.539751563,3/12/2022,Bagnis F.,1.54,154,
44301,2.28,1,1.53911094,6/24/2017,Lopez F.,1.28,128,
37771,1.56,0,1.538222801,1/19/2015,Baghdatis M.,-1,-100,
46213,1.62,0,1.537958229,3/24/2018,Sock J.,-1,-100,
38506,1.93,0,1.537213513,4/18/2015,Berdych T.,-1,-100,
37146,1.54,0,1.537113635,8/28/2014,Querrey S.,-1,-100,
46540,2.16,1,1.536884415,5/8/2018,Shapovalov D.,1.16,116,
31258,1.67,0,1.536617369,6/19/2012,Malisse X.,-1,-100,
49557,1.75,0,1.53647445,6/26/2019,Simon G.,-1,-100,
50793,1.64,0,1.536000505,1/21/2020,Herbert P.H.,-1,-100,
51665,2.16,1,1.535578265,10/13/2020,Ivashka I.,1.16,116,
48020,2.35,1,1.53554459,10/29/2018,Dzumhur D.,1.35,135,
43221,1.68,0,1.535450545,2/15/2017,Ramos-Vinolas A.,-1,-100,
37445,2.11,1,1.535341451,10/16/2014,Becker B.,1.11,111,
34308,2.55,1,1.535189458,7/29/2013,Zeballos H.,1.55,155,
35708,1.58,0,1.534982778,3/13/2014,Benneteau J.,-1,-100,
52925,2.47,1,1.533623175,5/11/2021,Auger-Aliassime F.,1.47,147,
30296,1.74,0,1.53342599,2/22/2012,Melzer J.,-1,-100,
37693,1.6,0,1.532350959,1/12/2015,Mayer L.,-1,-100,
56523,1.63,0,1.532123005,9/2/2022,Carreno Busta P.,-1,-100,
47810,1.55,0,1.529362839,10/5/2018,Basilashvili N.,-1,-100,
41310,2.73,1,1.529289064,5/3/2016,Del Potro J.M.,1.73,173,
50806,2.19,1,1.529204823,1/21/2020,Fognini F.,1.19,119,
47682,2.37,1,1.529128919,9/20/2018,Cecchinato M.,1.37,137,
32993,2.15,1,1.52869401,2/25/2013,Donskoy E.,1.15,115,
34534,1.5,0,1.528163537,8/26/2013,Bautista R.,-1,-100,
39061,2.21,1,1.528076216,6/19/2015,Troicki V.,1.21,121,
52586,1.66,0,1.527791579,3/28/2021,Sinner J.,-1,-100,
55066,2.31,1,1.527497871,3/15/2022,Kecmanovic M.,1.31,131,
50439,1.58,0,1.527379227,10/8/2019,Berrettini M.,-1,-100,
50633,1.59,0,1.527101265,10/30/2019,Wawrinka S.,-1,-100,
36144,2.4,1,1.527061028,5/15/2014,Dimitrov G.,1.4,140,
57563,1.65,0,1.527057087,3/2/2023,Baez S.,-1,-100,
38430,1.71,0,1.52621851,4/8/2015,Querrey S.,-1,-100,
38145,1.55,0,1.526115631,2/24/2015,Lu Y.H.,-1,-100,
32428,1.65,0,1.524167445,10/30/2012,Dimitrov G.,-1,-100,
57298,1.61,0,1.523732797,2/9/2023,Sonego L.,-1,-100,
33186,1.54,0,1.523510804,3/20/2013,Malisse X.,-1,-100,
49219,2.6,1,1.523495271,5/17/2019,Schwartzman D.,1.6,160,
32324,1.63,0,1.523236433,10/18/2012,Bellucci T.,-1,-100,
57385,1.57,0,1.522655936,2/15/2023,Lajovic D.,-1,-100,
56729,2.11,1,1.522449673,10/6/2022,Kecmanovic M.,1.11,111,
44355,1.58,0,1.521688522,6/30/2017,Sugita Y.,-1,-100,
52294,1.61,0,1.521591789,2/26/2021,Bagnis F.,-1,-100,
48728,1.7,0,1.521027201,3/10/2019,Shapovalov D.,-1,-100,
37406,1.94,0,1.520691715,10/14/2014,Bellucci T.,-1,-100,
39817,1.63,0,1.520515316,9/23/2015,Herbert P.H,-1,-100,
37998,1.7,0,1.520410098,2/12/2015,Isner J.,-1,-100,
41425,1.69,0,1.520285648,5/17/2016,Istomin D.,-1,-100,
45870,1.72,0,1.519907289,2/16/2018,Goffin D.,-1,-100,
41204,1.62,0,1.519199924,4/23/2016,Verdasco F.,-1,-100,
55288,2.16,1,1.518256149,4/14/2022,Davidovich Fokina A.,1.16,116,
37524,1.61,0,1.518241343,10/23/2014,Dimitrov G.,-1,-100,
40904,1.75,0,1.517844763,3/15/2016,Thiem D.,-1,-100,
52084,2.81,1,1.517791147,2/5/2021,Evans D.,1.81,181,
40325,1.81,0,1.517070653,1/12/2016,Chardy J.,-1,-100,
54204,2.53,1,1.517058938,10/16/2021,Basilashvili N.,1.53,153,
49699,1.55,0,1.516838363,7/14/2019,Djokovic N.,-1,-100,
49503,1.77,0,1.516607962,6/20/2019,Auger-Aliassime F.,-1,-100,
57594,1.67,0,1.515899358,3/5/2023,De Minaur A.,-1,-100,
55013,2.35,1,1.515641575,3/11/2022,Otte O.,1.35,135,
42685,1.69,0,1.515611324,10/20/2016,Kamke T.,-1,-100,
48659,2.26,1,1.514699556,2/28/2019,Mcdonald M.,1.26,126,
35225,1.92,1,1.514115241,1/15/2014,Fognini F.,0.92,92,
52563,1.6,0,1.51380945,3/26/2021,Fritz T.,-1,-100,
52767,1.74,0,1.513612002,4/21/2021,De Minaur A.,-1,-100,
49872,2.08,1,1.513256733,7/29/2019,Sonego L.,1.08,108,
