match,PSW,win0,confidence0,date,winner,,,correct pred?,
47742,1.52,0,1.718587938,9/27/2018,Fognini F.,-1,-50,,
54200,2.48,1,1.717549109,10/14/2021,Dimitrov G.,1.48,74,,
45104,2.42,1,1.717292493,9/26/2017,Istomin D.,1.42,71,,
45848,1.56,0,1.713721123,2/14/2018,Dzumhur D.,-1,-50,,
48676,1.54,0,1.712480641,3/1/2019,Ruud C.,-1,-50,,
56932,1.6,0,1.712476127,10/26/2022,Rinderknech A.,-1,-50,,
43989,1.52,0,1.707683061,5/17/2017,Sock J.,-1,-50,,
57316,1.46,0,1.707666473,2/9/2023,Coric B.,-1,-50,,
47323,1.59,0,1.70728234,8/1/2018,Polansky P.,-1,-50,,
49996,1.4,0,1.70568254,8/7/2019,Cilic M.,-1,-50,,
47981,2.56,1,1.704665565,10/24/2018,Fucsovics M.,1.56,78,,
48179,2.51,1,1.704074893,1/8/2019,Seppi A.,1.51,75.5,,
54175,1.62,0,1.700806174,10/11/2021,Basilashvili N.,-1,-50,,
44337,1.88,1,1.698812799,6/28/2017,Altmaier D.,0.88,44,,
54093,2.52,1,1.697827578,9/30/2021,Giron M.,1.52,76,,
53204,1.57,0,1.697338776,6/10/2021,Auger-Aliassime F.,-1,-50,,
45417,2.9,1,1.696340869,10/31/2017,Cuevas P.,1.9,95,,
47265,1.55,0,1.694828901,7/28/2018,Mayer L.,-1,-50,,
54287,2.51,1,1.694269958,10/27/2021,Alcaraz C.,1.51,75.5,,
49223,1.57,0,1.694180754,5/19/2019,Nadal R.,-1,-50,,
44737,1.51,0,1.690638127,8/4/2017,Sousa J.,-1,-50,,
46080,1.64,0,1.690447895,3/9/2018,Sousa J.,-1,-50,,
45135,2.41,1,1.686939639,9/30/2017,Istomin D.,1.41,70.5,,
47374,1.71,0,1.686343875,8/6/2018,Ivashka I.,-1,-50,,
44238,2.92,1,1.685524215,6/17/2017,Karlovic I.,1.92,96,,
52307,2.64,1,1.68415221,2/28/2021,Cerundolo J.M.,1.64,82,,
51912,1.59,0,1.682818533,11/12/2020,Mannarino A.,-1,-50,,
50641,2.49,1,1.679255881,10/30/2019,Garin C.,1.49,74.5,,
45339,2.37,1,1.679069878,10/23/2017,Kohlschreiber P.,1.37,68.5,,
47496,2.58,1,1.678740589,8/21/2018,Carballes Baena R.,1.58,79,,
53565,1.77,0,1.677199545,7/20/2021,Ajdukovic D.,-1,-50,,
54917,1.65,0,1.676646029,2/21/2022,Londero J.I.,-1,-50,,
49555,1.75,0,1.675864059,6/26/2019,Simon G.,-1,-50,,
54351,2.52,1,1.675135403,11/4/2021,Duckworth J.,1.52,76,,
56130,2.24,1,1.674955759,7/25/2022,Lehecka J.,1.24,62,,
53462,1.42,0,1.672408635,7/9/2021,Berrettini M.,-1,-50,,
42869,1.41,0,1.672405404,1/3/2017,Youzhny M.,-1,-50,,
50244,2.65,1,1.672287309,9/4/2019,Berrettini M.,1.65,82.5,,
52813,2.25,1,1.669834837,4/27/2021,Basilashvili N.,1.25,62.5,,
50324,2.33,1,1.669390384,9/25/2019,Sousa J.,1.33,66.5,,
53270,2.31,1,1.668509507,6/18/2021,Basilashvili N.,1.31,65.5,,
