match,PSW,win0,confidence0,date,winner,,,,,,,
47372,1.68,0,1.563743087,8/6/2018,Fucsovics M.,,,,,,,
54375,2.21,1,1.563706458,11/10/2021,Van De Zandschulp B.,,,,,,,
49992,1.75,0,1.563113106,8/7/2019,Thiem D.,,,,,,,
50345,2.67,1,1.562385057,9/27/2019,Harris L.,,,,,,,
55292,2.16,1,1.562147305,4/14/2022,Davidovich Fokina A.,,,,,,,
53205,1.57,0,1.562032461,6/10/2021,Auger-Aliassime F.,,,,,,,
53616,1.62,0,1.561647746,7/23/2021,Nakashima B.,,,,,,,
52963,2.45,1,1.561491668,5/17/2021,Sandgren T.,,,,,,,
46314,2.38,1,1.561386828,4/15/2018,Zverev M.,,,,,,,
57114,2.16,1,1.151538735,1/10/2023,Huesler M.A.,1.16,58,,,,,
31489,1.51,0,1.560099933,7/11/2012,Van Der Merwe I.,,,,,,,
33929,1.72,0,1.55940229,6/21/2013,Lopez F.,,,,,,,
57106,2.14,1,1.127888302,1/10/2023,Eubanks C.,1.14,57,,,,,
52841,1.63,0,1.558047489,4/30/2021,Ramos-Vinolas A.,,,,,,,
37300,2.06,1,1.557213051,9/30/2014,Gojowczyk P.,,,,,,,
34297,2.65,1,1.556909718,7/28/2013,Robredo T.,,,,,,,
55241,2.68,1,1.554887263,4/9/2022,Opelka R.,,,,,,,
50065,2.37,1,1.554504778,8/15/2019,Khachanov K.,,,,,,,
39375,1.53,0,1.554500592,7/28/2015,Fognini F.,,,,,,,
52391,1.79,0,1.554275408,3/9/2021,Evans D.,,,,,,,
32628,1.53,0,1.553296149,1/14/2013,Lacko L.,,,,,,,
36359,1.63,0,1.552850873,6/10/2014,Tursunov D.,,,,,,,
41317,2.52,1,1.551684517,5/4/2016,Sock J.,,,,,,,
47915,1.6,0,1.551459016,10/17/2018,Herbert P.H.,,,,,,,
55523,2.86,1,1.550847806,5/11/2022,Khachanov K.,,,,,,,
43704,1.52,0,1.550327573,4/18/2017,Lopez F.,,,,,,,
