match,PSW,win0,confidence0,date,winner,pred correct?
50416,1.91,1,1.234395902,10/6/2019,Sousa J.,
37112,1.66,1,1.234293188,8/26/2014,Karlovic I.,
55008,2.02,0,1.234247838,3/10/2022,Bonzi B.,
56734,2.25,0,1.234236639,10/5/2022,Mannarino A.,
57014,1.45,1,1.234156082,11/4/2022,Tsitsipas S.,
45540,1.8,1,1.234075767,1/5/2018,De Minaur A.,
31125,2.08,0,1.234037046,5/31/2012,Fognini F.,
57080,1.85,1,1.233988338,1/5/2023,Korda S.,
32487,1.88,0,1.23397944,1/1/2013,Istomin D.,
39417,3.11,0,1.233920028,7/30/2015,Kudla D.,
34456,2.02,1,1.23390812,8/14/2013,Isner J.,
35327,2.08,0,1.233840535,2/6/2014,Sela D.,
48345,2.57,0,1.233817683,2/4/2019,Copil M.,
36275,1.81,1,1.233769819,5/28/2014,Janowicz J.,
34559,1.96,1,1.233765119,8/27/2013,Berlocq C.,
34967,1.79,1,1.233720613,10/28/2013,Kohlschreiber P.,
41627,1.72,1,1.233568467,6/11/2016,Mahut N.,
31674,2.04,1,1.233515812,7/30/2012,Mayer L.,
38490,1.72,1,1.233403396,4/15/2015,Bautista R.,
42676,1.99,1,1.23337879,10/19/2016,Darcis S.,
30767,1.66,0,1.233259248,4/24/2012,Cipolla F.,
40808,2.02,1,1.233223079,2/25/2016,Monteiro T.,
38741,1.78,1,1.233191082,5/12/2015,Troicki V.,
38964,1.7,1,1.233019582,6/9/2015,Haas T.,
57147,2.74,0,1.232787454,1/16/2023,Svrcina D.,
30000,1.88,1,1.232783492,1/17/2012,Bellucci T.,
45365,1.79,0,1.232743983,10/25/2017,Coric B.,
54160,2.05,0,1.232690038,10/10/2021,Anderson K.,
39090,2.12,1,1.232581493,6/23/2015,Smyczek T.,
36851,1.68,0,1.232506297,7/28/2014,Vesely J.,
51853,2.7,0,1.232444789,11/3/2020,Humbert U.,
34025,2.04,0,1.232432661,6/28/2013,Melzer J.,
52342,2.75,0,1.232411947,3/3/2021,Kecmanovic M.,
47432,2.05,1,1.232363011,8/13/2018,Gojowczyk P.,
45142,1.94,1,1.232327621,10/2/2017,Uchiyama Y.,
38663,2.08,1,1.232254378,5/4/2015,Sousa J.,
48591,2.23,0,1.232238024,2/24/2019,Djere L.,
55753,2.27,0,1.232232688,6/9/2022,Simon G.,
30409,1.41,1,1.232228662,2/29/2012,Nishikori K.,
51985,2.03,0,1.232215431,1/12/2021,Norrie C.,
39870,1.67,1,1.232144873,9/29/2015,Basilashvili N.,
41414,1.76,1,1.232074671,5/16/2016,Garcia-Lopez G.,
53680,2.03,0,1.232039799,8/1/2021,Isner J.,
52696,1.95,0,1.232027659,4/13/2021,Cecchinato M.,
34175,2.3,0,1.232009832,7/17/2013,Delbonis F.,
46796,2.12,1,1.231967063,6/2/2018,Fognini F.,
47230,1.68,1,1.231963992,7/25/2018,Baghdatis M.,
49845,1.97,1,1.231903185,7/26/2019,Basilashvili N.,
37479,2.26,1,1.231873455,10/20/2014,Herbert P.H.,
50871,2.16,0,1.231791446,1/27/2020,Zverev A.,
32609,1.76,0,1.231755951,1/12/2013,Tomic B.,
50126,1.9,0,1.231745296,8/26/2019,Carreno Busta P.,
42030,2.3,1,1.231729718,7/21/2016,Basilashvili N.,
38050,2.19,1,1.231710483,2/17/2015,Monaco J.,
56398,1.88,1,1.231649048,8/22/2022,Mannarino A.,
51104,2.02,1,1.231637068,2/20/2020,Auger-Aliassime F.,
45097,1.85,0,1.231623276,9/26/2017,Copil M.,
33511,2.04,1,1.231618622,5/6/2013,Istomin D.,
57841,2.14,0,1.231554271,3/27/2023,Gakhov I.,
50798,2.04,1,1.231545866,1/21/2020,Millman J.,
50618,1.98,0,1.231527374,10/28/2019,Chardy J.,
29878,1.78,0,1.231508138,1/4/2012,Youzhny M.,
33330,2.02,1,1.231332368,4/15/2013,Roger-Vasselin E.,
55974,2.36,1,1.231327104,6/30/2022,Nakashima B.,
37504,2.3,0,1.231301319,10/22/2014,Bellucci T.,
47140,1.99,1,1.231247334,7/17/2018,Klizan M.,
44242,1.8,1,1.230958056,6/18/2017,Muller G.,
33395,2.12,1,1.230758387,4/23/2013,Kavcic B.,
56269,1.87,1,1.230741201,8/5/2022,Wolf J.J.,
44390,2.02,1,1.230739771,7/4/2017,Harrison R.,
39777,2.85,0,1.23066017,9/5/2015,Chardy J.,
40250,1.52,0,1.230364419,1/5/2016,Mayer L.,
35819,2.62,0,1.230337012,4/8/2014,Young D.,
48478,1.9,0,1.230334359,2/14/2019,Opelka R.,
43638,1.87,0,1.23029269,4/10/2017,Kicker N.,
55626,2,1,1.230249453,5/23/2022,Nakashima B.,
38597,1.95,0,1.230211423,4/28/2015,Dodig I.,
36445,1.8,0,1.230170458,6/17/2014,Benneteau J.,
50924,2.83,0,1.230138896,2/5/2020,Lopez F.,
32021,2.27,0,1.230131406,9/20/2012,Karlovic I.,
37089,2.37,0,1.230130591,8/25/2014,Kyrgios N.,
40198,1.46,1,1.230092624,11/5/2015,Ferrer D.,
40186,2.06,0,1.22994269,11/4/2015,Troicki V.,
42610,1.61,1,1.229928365,10/11/2016,Pouille L.,
39285,2.07,0,1.229913214,7/21/2015,Stepanek R.,
45345,1.83,0,1.22989619,10/23/2017,Shapovalov D.,
43750,1.88,0,1.22988454,4/24/2017,Dzumhur D.,
51269,3.13,0,1.229861155,8/26/2020,Bautista Agut R.,
53324,2.08,0,1.229782453,6/24/2021,Mannarino A.,
37180,1.65,1,1.22966174,8/31/2014,Robredo T.,
29871,1.91,0,1.229651292,1/4/2012,Giraldo S.,
33489,2.12,1,1.229509376,5/2/2013,Haas T.,
39222,1.42,1,1.229372131,7/4/2015,Troicki V.,
50781,1.81,1,1.229362731,1/21/2020,Delbonis F.,
47318,2.2,0,1.229360777,8/1/2018,Daniel T.,
53092,1.7,1,1.22926258,5/31/2021,Basilashvili N.,
31380,2.55,0,1.229218725,6/28/2012,Paire B.,
52898,2.36,1,1.229197567,5/6/2021,Garin C.,
29913,1.73,0,1.229153512,1/8/2012,Raonic M.,
56158,1.62,1,1.229150481,7/26/2022,Shelton B.,
30704,2.05,0,1.22913752,4/17/2012,Seppi A.,
56209,2.02,1,1.229032858,7/31/2022,Brooksby J.,
32196,1.95,0,1.228993501,10/5/2012,Gasquet R.,
51057,1.65,1,1.228991831,2/17/2020,Delbonis F.,
39227,1.85,0,1.228960614,7/6/2015,Gasquet R.,
32920,1.68,1,1.228899608,2/19/2013,Montanes A.,
48626,2.15,1,1.228898394,2/26/2019,Norrie C.,
44103,1.93,0,1.228874864,5/29/2017,Sousa J.,
48126,1.74,0,1.228859992,1/2/2019,Berdych T.,
50823,2.1,0,1.228746635,1/22/2020,Millman J.,
49810,1.81,0,1.228732958,7/23/2019,Albot R.,
51525,2,0,1.228730419,9/27/2020,Rodionov J.,
50913,1.74,1,1.228673923,2/5/2020,Munar J.,
44855,1.94,0,1.228632542,8/19/2017,Dimitrov G.,
39453,1.83,1,1.228618398,8/4/2015,Groth S.,
55648,1.75,0,1.228552657,5/24/2022,Ruusuvuori E.,
57041,1.97,0,1.22853776,1/2/2023,Kokkinakis T.,
53118,1.74,1,1.228488133,6/1/2021,Kohlschreiber P.,
34040,1.47,1,1.228437858,6/29/2013,Ferrer D.,
43853,2.15,0,1.228389044,5/2/2017,Sousa P.,
47142,2.69,0,1.228382282,7/18/2018,Pospisil V.,
51777,1.77,1,1.228277394,10/24/2020,Schwartzman D.,
44671,1.79,1,1.228254114,8/1/2017,Dzumhur D.,
35258,1.39,1,1.228215263,1/17/2014,Ferrer D.,
29973,1.95,1,1.228130283,1/16/2012,Rochus O.,
52326,1.83,1,1.228053463,3/2/2021,Tiafoe F.,
45061,1.78,1,1.228028396,9/21/2017,Fognini F.,
51491,1.87,1,1.22800629,9/22/2020,Khachanov K.,
45100,1.83,0,1.227897685,9/26/2017,Lacko L.,
34261,1.47,1,1.227708394,7/24/2013,Lopez F.,
49903,2.04,0,1.227639399,7/31/2019,Auger-Aliassime F.,
41630,2.17,1,1.227632258,6/11/2016,Kohlschreiber P.,
35150,1.46,1,1.22761746,1/8/2014,Isner J.,
30435,2.32,1,1.227616838,3/3/2012,Anderson K.,
54134,1.85,1,1.227610678,10/8/2021,Caruso S.,
48926,1.93,1,1.227607993,4/13/2019,Andujar P.,
55560,2.2,0,1.22760274,5/17/2022,Guinard M.,
38587,1.74,1,1.227565019,4/27/2015,Haase R.,
43208,2.37,1,1.227489953,2/14/2017,Klizan M.,
47997,2.67,1,1.227383333,10/25/2018,Verdasco F.,
43899,2,0,1.227291239,5/7/2017,Cilic M.,
46273,1.97,1,1.22722747,4/10/2018,Harrison R.,
30443,1.91,1,1.22718752,3/8/2012,Stakhovsky S.,
52296,1.96,0,1.227090949,2/26/2021,Goffin D.,
45014,1.81,0,1.227019053,9/2/2017,Rublev A.,
49720,1.98,1,1.226875932,7/16/2019,Bublik A.,
30023,2.31,1,1.22686175,1/17/2012,Llodra M.,
52690,2.54,0,1.226780814,4/13/2021,Evans D.,
30899,2.2,0,1.226779059,5/7/2012,Gimeno-Traver D.,
32118,1.87,0,1.226617667,10/2/2012,Matosevic M.,
34218,1.68,1,1.226588888,7/22/2013,Kuznetsov An.,
38330,1.95,1,1.226515476,3/26/2015,Bolelli S.,
54506,2.23,1,1.226505997,1/14/2022,Rinderknech A.,
48767,2.34,1,1.226479877,3/13/2019,Kecmanovic M.,
45152,2.2,1,1.22634308,10/2/2017,Lajovic D.,
42126,2.33,0,1.226307941,7/28/2016,Anderson K.,
49121,2.02,0,1.226241773,5/6/2019,Tiafoe F.,
53539,1.91,0,1.226201018,7/17/2021,Anderson K.,
56944,2.08,1,1.226066221,10/27/2022,Wawrinka S.,
45391,2.12,1,1.225981647,10/27/2017,Kohlschreiber P.,
52027,1.54,1,1.225939966,2/2/2021,Vesely J.,
47122,2.02,1,1.225927899,7/17/2018,Mahut N.,
33276,1.9,1,1.225871911,4/9/2013,Volandri F.,
31320,1.86,1,1.225781211,6/25/2012,Benneteau J.,
32225,1.99,0,1.225633229,10/8/2012,Haas T.,
38317,2.02,0,1.225554544,3/25/2015,Struff J.L.,
50592,1.81,1,1.225476272,10/24/2019,Schwartzman D.,
38376,1.73,0,1.225380254,3/30/2015,Monaco J.,
