match,PSW,win0,confidence0,date,winner,,,
45135,2.41,1,1.740639533,9/30/2017,Istomin D.,1.41,70.5,
49556,1.75,0,1.735637933,6/26/2019,Simon G.,-1,-50,
45854,1.58,0,1.735158473,2/15/2018,Medvedev D.,-1,-50,
55760,2.27,1,1.733575679,6/9/2022,Simon G.,1.27,63.5,
54284,2.51,1,1.731939827,10/27/2021,Alcaraz C.,1.51,75.5,
52391,1.79,0,1.730736951,3/9/2021,Evans D.,-1,-50,
44765,2.52,1,1.729676208,8/8/2017,Carreno Busta P.,1.52,76,
48149,1.64,0,1.729462481,1/3/2019,Chardy J.,-1,-50,
47712,1.68,0,1.728154711,9/25/2018,Querrey S.,-1,-50,
51948,2.12,1,1.72814249,1/8/2021,Quiroz R.,1.12,56,
57023,1.6,0,1.726054068,11/15/2022,Auger-Aliassime F.,-1,-50,
47304,2.52,1,1.72480969,8/1/2018,Copil M.,1.52,76,
49805,1.45,0,1.72430749,7/23/2019,Londero J.I.,-1,-50,
48212,2.61,1,1.724089975,1/11/2019,Seppi A.,1.61,80.5,
56308,1.55,0,1.721416486,8/10/2022,De Minaur A.,-1,-50,
49806,1.44,0,1.721341348,7/23/2019,Ruud C.,-1,-50,
52838,2.6,1,1.719905507,4/29/2021,Moutet C.,1.6,80,
57398,1.57,0,1.718614018,2/15/2023,Lajovic D.,-1,-50,
47353,2.58,1,1.718072804,8/3/2018,Istomin D.,1.58,79,
55024,1.45,0,1.717247022,3/12/2022,Shapovalov D.,-1,-50,
45472,1.73,0,1.716938412,1/1/2018,Ramanathan R.,-1,-50,
55566,2.34,1,1.716839732,5/17/2022,Nikles J.,1.34,67,
54200,2.48,1,1.716105409,10/14/2021,Dimitrov G.,1.48,74,
43035,1.5,0,1.715791407,1/17/2017,Young D.,-1,-50,
49224,1.57,0,1.715514252,5/19/2019,Nadal R.,-1,-50,
49942,2.27,1,1.714277365,8/1/2019,Sonego L.,1.27,63.5,
45111,2.52,1,1.712364174,9/27/2017,Gojowczyk P.,1.52,76,
47403,2.8,1,1.711828691,8/8/2018,Ivashka I.,1.8,90,
55808,1.49,0,1.710458893,6/15/2022,Hurkacz H.,-1,-50,
54990,1.6,0,1.709467825,2/25/2022,Ramos-Vinolas A.,-1,-50,
54027,1.5,0,1.708376932,9/22/2021,Carreno Busta P.,-1,-50,
54630,1.61,0,1.707605051,1/25/2022,Berrettini M.,-1,-50,
48148,1.68,0,1.705277302,1/3/2019,Nishikori K.,-1,-50,
48668,1.54,0,1.704189804,3/1/2019,Ruud C.,-1,-50,
44695,2.44,1,1.702209442,8/2/2017,Olivo R.,1.44,72,
46898,2.66,1,1.701221282,6/20/2018,Kudla D.,1.66,83,
51889,1.49,0,1.700819309,11/6/2020,Zverev A.,-1,-50,
55038,2.54,1,1.700098127,3/12/2022,Bagnis F.,1.54,77,
47743,1.53,0,1.699912255,9/27/2018,Querrey S.,-1,-50,
47515,2.59,1,1.69976636,8/23/2018,Johnson S.,1.59,79.5,
45496,1.57,0,1.699139929,1/2/2018,Lopez F.,-1,-50,
56171,2.16,1,1.698692224,7/27/2022,Lajovic D.,1.16,58,
52898,2.36,1,1.698460039,5/6/2021,Garin C.,1.36,68,
50348,1.57,0,1.697122255,9/27/2019,Shapovalov D.,-1,-50,
55831,2.49,1,1.694143248,6/18/2022,Hurkacz H.,1.49,74.5,
48016,2.74,1,1.693915079,10/28/2018,Anderson K.,1.74,87,
50920,1.63,0,1.692039607,2/5/2020,Ivashka I.,-1,-50,
51914,1.59,0,1.690809759,11/12/2020,Mannarino A.,-1,-50,
53288,1.6,0,1.689012765,6/21/2021,Travaglia S.,-1,-50,
52626,2.46,1,1.686585782,4/6/2021,Millman J.,1.46,73,
45107,1.54,0,1.685720932,9/26/2017,Baghdatis M.,-1,-50,
54938,3.06,1,1.685452091,2/22/2022,Pucinelli de Almeida M.,2.06,103,
48493,1.58,0,1.684650806,2/15/2019,Opelka R.,-1,-50,
57025,2.51,1,1.683514858,11/16/2022,Tsitsipas S.,1.51,75.5,
51931,2.7,1,1.683208875,11/21/2020,Thiem D.,1.7,85,
49803,1.47,0,1.680824662,7/23/2019,Zverev A.,-1,-50,
56978,1.56,0,1.680652061,11/1/2022,Khachanov K.,-1,-50,
51905,1.58,0,1.680233962,11/10/2020,Sinner J.,-1,-50,
48190,1.58,0,1.679456878,1/9/2019,Schwartzman D.,-1,-50,
46263,1.69,0,1.678614655,4/10/2018,Garcia-Lopez G.,-1,-50,
47301,1.59,0,1.678185268,8/1/2018,Zverev M.,-1,-50,
54628,1.61,0,1.677927356,1/24/2022,Tsitsipas S.,-1,-50,
47169,1.63,0,1.676825068,7/20/2018,Trungelliti M.,-1,-50,
55089,1.61,0,1.676456501,3/18/2022,Fritz T.,-1,-50,
45464,3.14,1,1.674369663,12/31/2017,De Minaur A.,2.14,107,
45955,1.58,0,1.674323219,2/22/2018,Fritz T.,-1,-50,
43380,1.37,0,1.674083793,2/28/2017,Delbonis F.,-1,-50,
45909,1.57,0,1.671381848,2/20/2018,Khachanov K.,-1,-50,
51406,2.17,1,1.669794731,9/9/2020,Delbonis F.,1.17,58.5,
55092,1.66,0,1.669476248,3/19/2022,Nadal R.,-1,-50,
52321,1.58,0,1.668998718,3/2/2021,Cerundolo F.,-1,-50,
57056,2.72,1,1.667812113,1/3/2023,Bautista Agut R.,1.72,86,
44192,2.05,1,1.667098826,6/12/2017,Hanfmann Y.,1.05,52.5,
53553,1.89,0,1.666694522,7/19/2021,Polmans M.,-1,-50,
50671,2.14,1,1.666184755,11/15/2019,Zverev A. ,1.14,57,
51890,1.56,0,1.665632149,11/7/2020,Medvedev D.,-1,-50,
45117,2.13,1,1.664822957,9/27/2017,Lajovic D.,1.13,56.5,
51971,2.36,1,1.664595045,1/10/2021,Quiroz R.,1.36,68,
50633,1.59,0,1.664255612,10/30/2019,Wawrinka S.,-1,-50,
47135,1.54,0,1.663984752,7/17/2018,Delbonis F.,-1,-50,
45664,1.52,0,1.663336041,1/17/2018,Dolgopolov O.,-1,-50,
51933,1.66,0,1.661887922,11/22/2020,Medvedev D.,-1,-50,
47532,1.69,0,1.660631263,8/27/2018,Pospisil V.,-1,-50,
50706,2.27,1,1.66032251,1/13/2020,Paire B.,1.27,63.5,
51103,1.88,0,1.659087886,2/20/2020,Coria F.,-1,-50,
53608,1.68,0,1.657319473,7/23/2021,Gasquet R.,-1,-50,
54935,1.57,0,1.656776572,2/22/2022,Taberner C.,-1,-50,
54912,1.65,0,1.656309539,2/21/2022,Londero J.I.,-1,-50,
53649,1.38,0,1.655827983,7/28/2021,Krajinovic F.,-1,-50,
57101,2.88,1,1.655176549,1/9/2023,Davidovich Fokina A.,1.88,94,
56183,1.57,0,1.654135032,7/28/2022,Brooksby J.,-1,-50,
53760,3,1,1.651284747,8/12/2021,Isner J.,2,100,
48206,1.83,0,1.651186642,1/10/2019,Simon G.,-1,-50,
53022,2.23,1,1.650384014,5/24/2021,Cuevas P.,1.23,61.5,
50944,1.61,0,1.650076806,2/7/2020,Goffin D.,-1,-50,
51655,2.34,1,1.649754728,10/12/2020,Karatsev A.,1.34,67,
49759,1.58,0,1.649200765,7/18/2019,Gasquet R.,-1,-50,
47554,2.29,1,1.648926664,8/28/2018,Ebden M.,1.29,64.5,
50752,2.73,1,1.648878634,1/17/2020,Paire B.,1.73,86.5,
44710,1.57,0,1.64832448,8/3/2017,Kohlschreiber P.,-1,-50,
52072,2.41,1,1.648095653,2/4/2021,Khachanov K.,1.41,70.5,
44232,2.7,1,1.647671304,6/16/2017,Pouille L.,1.7,85,
52014,2.23,1,1.647586448,2/1/2021,O Connell C.,1.23,61.5,
43364,1.71,0,1.647328398,2/27/2017,Olivo R.,-1,-50,
48359,1.59,0,1.646189079,2/5/2019,Hoang A.,-1,-50,
45110,2.58,1,1.644754121,9/27/2017,Donaldson J.,1.58,79,
46253,2.8,1,1.644658324,3/30/2018,Isner J.,1.8,90,
50065,2.37,1,1.643477957,8/15/2019,Khachanov K.,1.37,68.5,
57048,1.69,0,1.643314164,1/2/2023,Draper J.,-1,-50,
56220,2.39,1,1.643181982,8/2/2022,Paire B.,1.39,69.5,
56379,2.75,1,1.642341192,8/18/2022,Isner J.,1.75,87.5,
48100,1.78,0,1.642201386,1/1/2019,Lajovic D.,-1,-50,
