match,PSW,win0,confidence0,date,winner,,,correct pred?,,
50299,1.7,0,1.473717448,9/21/2019,Tsonga J.W.,-1,-100,,,
52358,1.85,0,1.473287314,3/5/2021,Cerundolo F.,-1,-100,,,
45356,2.37,1,1.473276862,10/24/2017,Mayer L.,1.37,137,,,
51221,2.2,1,1.472830716,8/22/2020,Berankis R.,1.2,120,,,
54023,2.31,1,1.472063844,9/22/2021,Djere L.,1.31,131,,,
49769,1.71,0,1.471907862,7/19/2019,Londero J.I.,-1,-100,,,
48505,2.45,1,1.471847477,2/17/2019,Monfils G.,1.45,145,,,
49516,2.29,1,1.471817332,6/22/2019,Goffin D.,1.29,129,,,
52971,2.44,1,1.471250919,5/18/2021,Lopez F.,1.44,144,,,
43222,2.62,1,1.471152443,2/15/2017,Sousa J.,1.62,162,,,
43228,2.63,1,1.470980255,2/15/2017,Smyczek T.,1.63,163,,,
57582,1.65,0,1.46992527,3/2/2023,Baez S.,-1,-100,,,
45093,2.07,1,1.469766787,9/25/2017,Monteiro T.,1.07,107,,,
52914,1.79,0,1.469688978,5/10/2021,Cilic M.,-1,-100,,,
52664,1.63,0,1.469683962,4/9/2021,Sonego L.,-1,-100,,,
44015,2.05,1,1.469275572,5/22/2017,Seppi A.,1.05,105,,,
52801,2.2,1,1.468899224,4/26/2021,Berankis R.,1.2,120,,,
53991,1.61,0,1.468036883,9/6/2021,Auger-Aliassime F.,-1,-100,,,
47690,2.37,1,1.467169645,9/20/2018,Cecchinato M.,1.37,137,,,
53974,1.79,0,1.466333667,9/3/2021,Evans D.,-1,-100,,,
54185,2.14,1,1.46631004,10/12/2021,Khachanov K.,1.14,114,,,
51057,2.02,1,1.46544845,2/17/2020,Nishioka Y.,1.02,102,,,
43772,2.09,1,1.465362738,4/25/2017,Zeballos H.,1.09,109,,,
53911,2.68,1,1.465129645,8/31/2021,Pospisil V.,1.68,168,,,
47740,2.34,1,1.463990289,9/27/2018,Ebden M.,1.34,134,,,
54455,1.51,0,1.463441726,1/10/2022,Sonego L.,-1,-100,,,
54627,1.76,0,1.462766119,1/24/2022,Auger-Aliassime F.,,,,,
56338,1.99,1,1.462231822,8/14/2022,Van De Zandschulp B.,,,,,
48780,2.34,1,1.462034363,3/20/2019,Carballes Baena R.,1.34,134,,,
52587,1.66,0,1.461843888,3/28/2021,Sinner J.,-1,-100,,,
54688,1.62,0,1.461580922,2/3/2022,Sonego L.,-1,-100,,,
45316,2.16,1,1.461525556,10/19/2017,Zverev M.,1.16,116,,,
56416,2.3,1,1.460560517,8/23/2022,Gasquet R.,1.3,130,,,
51717,1.65,0,1.460423751,10/17/2020,Rublev A.,-1,-100,,,
57312,1.61,0,1.459859219,2/9/2023,Sonego L.,-1,-100,,-1,-50
45404,1.78,0,1.459225093,10/30/2017,Krajinovic F.,-1,-100,,,
54094,2.19,1,1.459061163,9/30/2021,Sonego L.,1.19,119,,,
53938,1.79,1,1.458649969,9/1/2021,Bagnis F.,0.79,79,,,
45152,1.81,0,1.457911581,10/2/2017,Zverev M.,-1,-100,,,
55025,1.55,0,1.457764444,3/12/2022,Monfils G.,-1,-100,,,
43520,1.61,0,1.457442828,3/14/2017,Kyrgios N.,-1,-100,,,
56581,1.6,0,1.456569609,9/21/2022,Wawrinka S.,-1,-100,,,
45577,2.77,1,1.456311681,1/10/2018,Fognini F.,1.77,177,,,
48007,1.81,0,1.455764739,10/26/2018,Kukushkin M.,-1,-100,,,
47371,2.59,1,1.455620448,8/6/2018,Polansky P.,1.59,159,,,
56968,1.72,0,1.454791194,10/31/2022,Cressy M.,-1,-100,,,
51976,1.48,0,1.454427339,1/10/2021,Isner J.,-1,-100,,,
45473,1.73,0,1.45426136,1/1/2018,Ramanathan R.,-1,-100,,,
56935,1.6,0,1.453873068,10/26/2022,Rinderknech A.,-1,-100,,,
42963,1.81,0,1.453155785,1/11/2017,Johnson S.,-1,-100,,,
44299,2.28,1,1.452780992,6/24/2017,Lopez F.,1.28,128,,,
48572,2.33,1,1.451279444,2/21/2019,Stakhovsky S.,1.33,133,,,
53327,2.15,1,1.451070253,6/24/2021,Sonego L.,1.15,115,,,
56900,1.79,0,1.451006361,10/23/2022,Musetti L.,,,,,
56950,2.33,1,1.450991423,10/28/2022,Coric B.,1.33,133,,,
49210,2.43,1,1.450658821,5/16/2019,Del Potro J.M.,1.43,143,,,
49850,1.9,0,1.449915485,7/26/2019,Kecmanovic M.,-1,-100,,,
51094,2.03,1,1.449879743,2/19/2020,Monteiro T.,1.03,103,,,
46478,1.63,0,1.449264223,5/1/2018,Maden Y.,-1,-100,,,
45824,2.33,1,1.448704769,2/13/2018,Troicki V.,1.33,133,,,
